"minerID","capacity_GiB","storage_power_W","sealed_GiB_per_day","sealing_power_W","total_power_W"
"f01231",60826304,195935.2398124155,0,0,307618.3265054923
"f01278",100811.80952380953,324.73756871650744,688,1051.4652602914134,2160.638441542436
"f02301",2708574.4,8724.928850087117,0,0,13698.138294636774
"f02420",6864224,22111.21319431373,0,0,34714.60471507256
"f02540",284864,917.611172855808,0,0,1440.6495413836187
"f02721",6901824,22232.33127206093,0,0,34904.76009713566
"f02726",10331648,33280.56770533786,0,0,52250.491297380446
"f03176",11220224,36142.87135034573,0,0,56744.3080200428
"f03223",1688384,5438.665547317249,0,0,8538.70490928808
"f03266",7151456,23036.452229087234,0,0,36167.22999966696
"f03287",4689440,15105.74357741568,0,0,23716.017416542618
"f03325",159968,515.2929963048961,0,0,809.0100041986868
"f03519",268951.36,866.352971561042,0,0,1360.174165350836
"f08399",346083.36842105264,1114.8125617934552,0,0,1750.2557220157248
"f08532",0,0,0,0,0
"f09848",174307.67213114753,561.484313433877,0,0,881.5303720911869
"f010088",324156.44444444444,1044.1809957573973,288,440.14824849408,2330.3969134748195
"f014327",95616,308.000694730752,0,0,483.56109072728066
"f014392",136032,438.189743407104,0,0,687.9578971491533
"f014409",35232,113.49021582950401,0,0,178.1796388523213
"f014415",245184,789.792946126848,0,0,1239.9749254191515
"f015767",7119712,22934.197647704066,0,0,36006.69030689538
"f015927",70784,228.01122381004802,0,0,357.9776213817754
"f015942",80128,258.110354620416,0,0,405.2332567540531
"f016398",13997824,45090.14722137293,0,0,70791.5311375555
"f020940",46528,149.87717876121602,0,0,235.30717065510916
"f021479",61627904,198517.3741507707,0,0,311672.27741671
"f022125",20704,66.69225217228801,0,0,104.70683591049217
"f022142",307124.48,989.3171980507545,784,1198.1813431227736,3434.372709642439
"f023530",39201120,126275.64627492864,0,0,198252.764651638
"f023971",485216,1562.9901386219522,0,0,2453.894517636465
"f024156",2373184,7644.560750542848,0,0,12001.960378352273
"f032824",39200,126.27203850240001,80,122.26340235946668,390.2006421531307
"f034258",39040,125.75664242688,0,0,197.43792861020162
"f034544",4389152,14138.448222879744,0,0,22197.3637099212
"f047419",58469.818181818184,188.34446767048146,0,0,295.7008142426559
"f055522",42848,138.02306902425602,0,0,216.69621836808196
"f058369",43687.11111111111,140.72603510920533,80,122.26340235946668,412.89341682581505
"f058374",492608,1586.801437310976,0,0,2491.2782565782327
"f064218",364384,1173.7630223892481,0,0,1842.8079451511196
"f066596",1333369.92,4295.085149902602,1184,1809.4983549201067,9584.196102571654
"f070501",2085568,6718.084765188097,0,0,10547.393081345312
"f070932",72744736,234327.1965571154,0,0,367893.6985946712
"f071624",11488,37.005438222336004,0,0,58.098538009067525
"f073628",1852672,5967.874237661184,0,0,9369.56255312806
"f079247",1461344,4707.318516154368,0,0,7390.490070362358
"f079301",1588992,5118.5015052042245,0,0,8036.047363170633
"f082669",1547.4871794871794,4.984805120157539,0,0,7.826144038647336
"f083920",1313440,4230.88638394368,0,0,6642.491622791577
"f089767",302336,973.8924243025921,0,0,1529.0111061550697
"f090893",460896,1484.649935142912,0,0,2330.9003981743717
"f092516",6060.521739130435,19.522306999696696,0,0,30.650021989523815
"f094128",49856,160.597417132032,0,0,252.13794489729025
"f097219",155616,501.274223050752,0,0,787.0005301896807
"f098770",121536,391.49485896499203,0,0,614.6469285750375
"f0107127",126760.67796610169,408.32472471239595,960,1467.1608283136002,2944.512318250814
"f0110804",57639.27272727273,185.66909349664584,192,293.43216566272,752.1889768802045
"f0113331",363027.2,1169.3924636688384,832,1271.5393845384535,3832.263001685449
"f0114687",2317632,7465.615233122305,0,0,11721.01591600202
"f0116766",16704,53.807350284288006,0,0,84.47753994633217
"f0131464",57312,184.614874251264,0,0,289.84535257448454
"f0135078",506913.28,1632.8819696310684,784,1198.1813431227736,4444.769401023533
"f0137168",176042.66666666666,567.073122025472,1200,1833.9510353920002,3769.607927145432
"f0143858",11114336,35801.7822275666,192,293.43216566272,56669.48659737003
"f0144724",61848,199.226352992256,128,195.62144377514667,619.9110409248221
"f0149455",274208,883.285794226176,0,0,1386.7586969350964
"f0151034",11520,37.10851743744,0,0,58.2603723767808
"f0152337",33204288,106958.49828522395,0,0,167924.8423078016
"f0219415",0,0,0,0,0
"f0219631",0,0,0,0,0
"f0221135",16288,52.467320487936,0,0,82.37369316605952
"f0224782",0,0,0,0,0
"f0228388",64,0.206158430208,0,0,0.32366873542656005
"f0231135",0,0,0,0,0
"f0240185",7244753.28,23336.98380389155,2240,3423.3752660650666,42013.76373983189
"f0240893",0,0,0,0,0
"f0242260",0,0,0,0,0
"f0242416",135.11111111111111,0.4352233526613334,0,0,0.6833006636782935
"f0391370",0,0,0,0,0
"f0392733",0,0,0,0,0
"f0393016",151721.92,488.7305133647463,0,0,767.3069059826518
"f0400681",556.2553191489362,1.791823802978043,0,0,2.8131633706755275
"f0403896",3504.5925925925926,11.289082928241779,0,0,17.723860197339594
"f0406322",528255.04,1701.628590560379,816,1247.08670406656,4629.483012564294
"f0406703",516756.48,1664.5891361970587,816,1247.08670406656,4571.331069213881
"f0434480",800,2.5769803776,0,0,4.045859192832
"f0440182",190880,614.8675180953601,0,0,965.3420034097154
"f0440208",185856,598.684081324032,0,0,939.9340076787304
"f0455466",190624,614.0428843745281,0,0,964.0473284680091
"f0492030",47008,151.423366987776,0,0,237.73468617080835
"f0501283",773817.6,2492.640963801907,1024,1564.9715502011734,6370.451646984837
"f0514737",344736,1110.472384315392,0,0,1743.4416433751655
"f0677977",0,0,0,0,0
"f0678914",209143.54716981133,673.6985214478298,864,1320.44474548224,3130.8049290802096
"f0689753",1062368,3422.126862237696,0,0,5372.739173713183
"f0715639",1738112,5598.850647588864,0,0,8790.195516714517
"f0717969",1939408.64,6247.272511784878,992,1516.066189257387,12188.441760636357
"f0723722",295352.64,951.3974471904462,800,1222.6340235946668,3413.2294091326276
"f0728347",2624,8.452495638528001,0,0,13.270418152488961
"f0751590",224,0.7215545057280001,0,0,1.1328405739929601
"f0752322",10432,33.603824123904005,0,0,52.75800387452929
"f0758390",0,0,0,0,0
"f0763337",2171776,6995.780170678272,0,0,10983.374867964887
"f0827934",288,0.927712935936,0,0,1.45650930941952
"f0828066",136832,440.766723784704,0,0,692.0037563419853
"f0832312",0,0,0,0,0
"f0836164",17152,55.250459295744,0,0,86.74322109431809
"f0838852",248512,800.513184497664,0,0,1256.8056996613325
"f0838873",240192,773.712588570624,0,0,1214.7287640558798
"f0838893",239168,770.414053687296,0,0,1209.5500642890547
"f0838923",505404.8,1628.0228154310657,3008,4597.1039287159465,9773.448988310809
"f0840770",121229.17647058824,390.5065111966419,144,220.07412424704,958.6115976465807
"f0850130",707282.88,2278.3176289655194,880,1344.8974259541335,5688.447636223856
"f0855584",833647.68,2685.3671414897053,0,0,4216.026412138837
"f0862933",53056,170.905338642432,0,0,268.32138166861824
"f0869590",582.6206896551724,1.8767526060314486,0,0,2.9465015914693744
"f0870558",3257448.32,10492.975502107607,1696,2591.9841300206936,20543.386622441434
"f0875769",351231.68,1131.396434189353,800,1222.6340235946668,3695.827818720911
"f0877555",0,0,0,0,0
"f0878005",6556160,21118.869590507522,0,0,33156.62525709681
"f0878351",351712,1132.943653208064,0,0,1778.7215355366607
"f0880167",76.8,0.2473901162496,0,0,0.38840248251187204
"f01017269",192,0.6184752906240001,0,0,0.9710062062796802
"f01024814",15264,49.168785604608004,0,0,77.19499339923458
"f01029682",0,0,0,0,0
"f01035680",400015.04,1288.5386360310988,816,1247.08670406656,3980.9317839533246
"f01045784",4640,14.94648619008,0,0,23.4659833184256
"f01049918",21248,68.444598829056,0,0,107.45802016161794
"f01051828",188736,607.961210683392,0,0,954.4991007729254
"f01060792",149.33333333333334,0.48103633715200006,0,0,0.7552270493286402
"f01063481",64,0.206158430208,0,0,0.32366873542656005
"f01071194",364400,1173.8145619968,896,1369.350106426027,3992.768529423839
"f01072221",9718729.92,31306.220373792523,1200,1833.9510353920002,52030.0691124197
"f01091851",7897344,25439.12565394637,0,0,39939.4272766958
"f01094602",2906220.16,9361.590406631916,0,0,14697.69693841211
"f01095171",0,0,0,0,0
"f01095191",0,0,0,0,0
"f01099967",256,0.824633720832,0,0,1.2946749417062402
"f01104053",64,0.206158430208,0,0,0.32366873542656005
"f01107129",0,0,0,0,0
"f01108749",112,0.36077725286400003,0,0,0.5664202869964801
"f01112541",10944,35.253091565568,0,0,55.34735375794176
"f01112547",506.10526315789474,1.6302791651974737,0,0,2.559538289360034
"f01113723",426.6666666666667,1.3743895347200001,0,0,2.1577915695104
"f01114364",0,0,0,0,0
"f01116725",192,0.6184752906240001,0,0,0.9710062062796802
"f01116796",192,0.6184752906240001,0,0,0.9710062062796802
"f01118185",96,0.30923764531200004,0,0,0.4855031031398401
"f01118563",266.6666666666667,0.8589934592000001,0,0,1.3486197309440002
"f01119939",1399538.88,4508.2302893103515,944,1442.7081478417067,9342.973346328732
"f01120547",0,0,0,0,0
"f01134282",712,2.293512536064,0,0,3.6008146816204802
"f01136274",192,0.6184752906240001,0,0,0.9710062062796802
"f01137150",89008160,286715.35220785154,0,0,450143.10296632693
"f01137729",144320,464.88726011904004,0,0,729.8729983868928
"f01138034",4836704,15580.11412532429,0,0,24460.779176759137
"f01139232",162038,521.9609330319361,0,0,819.4786648601397
"f01140920",1248,4.020089389056,0,0,6.3115403408179205
"f01149094",93440,300.99130810368,0,0,472.55635372277766
"f01152332",53310.117647058825,171.7239088800226,432,660.22237274112,1306.155662145194
"f01155864",23612.444444444445,76.06100750062934,96,146.71608283136,349.7600318212233
"f01156568",60508.48,194.91145704800257,0,0,306.0109875653641
"f01159754",1755136,5653.688790024193,0,0,8876.291400337983
"f01161910",1312,4.2262478192640005,0,0,6.635209076244481
"f01166620",4335616,13965.996696010752,0,0,21926.614812736883
"f01175097",497504,1602.572557221888,0,0,2516.0389148383642
"f01186610",6784,21.852793602048003,0,0,34.308885955215366
"f01192502",806.4,2.5975962206208,0,0,4.078226066374656
"f01197354",39520,127.30283065344001,0,0,199.86544412590084
"f01205144",4544,14.637248544768001,0,0,22.980480215285763
"f01209607",277.3333333333333,0.893353197568,0,0,1.40256452018176
"f01211218",128,0.412316860416,0,0,0.6473374708531201
"f01218989",2129664,6860.127923601408,0,0,10770.400840054212
"f01247151",7242.88,23.33094954663936,0,0,36.629590788223794
"f01315486",15577.6,50.1789619126272,64,97.81072188757334,232.34380356631485
"f01333861",3264,10.514079940608001,112,171.16876330325337,285.2420638928624
"f01359803",146367.68,471.483299093545,848,1295.9920650103468,2774.93632164311
"f01363460",32,0.103079215104,0,0,0.16183436771328003
"f01381814",128,0.412316860416,0,0,0.6473374708531201
"f01385207",4537176,14615.266902147072,1664,2543.078769076907,26938.60270382165
"f01391127",1083897.6,3491.4785581596675,0,0,5481.621336310678
"f01419959",395899.29411764705,1275.2808905585846,272,415.6955680221867,2654.833039971811
"f01506844",35286.72,113.66648128733185,976,1491.6135087854934,2520.289584414336
"f01557379",12587.733333333334,40.5479272480768,464,709.1277336849067,1176.9907876647842
"f01597607",23997,77.299747651584,1024,1564.9715502011734,2578.365937628829
"f01611097",106788.36363636363,343.9893970586531,336,513.5062899097601,1346.2682285404087
"f01628730",32,0.103079215104,0,0,0.16183436771328003
"f01641612",136651.2,440.1843262193665,1008,1540.51886972928,3109.7040176393753